Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.59991680962024E-16,-0.00180057250759344,9.22159485035791E-16,0,0,0,0.5397745,0.0010104424615518,-5.68823672919161E-21,-2.83870443202449E-12,0.00503082062773216,-4.85459085409541E-08,0.00403664638877451,0,0,0,0,0,0,package://board_new/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/base_link.STL,,Tengen-2;Tengen-1;Kiwo-1;Kiwo-2;Mburi-2;Mburi-1;Papan-2;Papan-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pion1,5.55111512312578E-17,0.0106222958974551,-1.7055801215804E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-3.26879966837887E-23,-2.97708148562947E-23,2.09083285069225E-07,2.66692949158579E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion1.STL,,Pion-1,pion1_coor,Axis_p_1,p_1,continuous,0.151639999999999,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion2,5.55111512312578E-17,0.0106222958974551,-1.77219350305791E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.61603114763974E-23,-1.36349163220758E-23,2.09083285069227E-07,-6.7032927568502E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion2.STL,,Pion-2,pion2_coor,Axis_p_2,p_2,continuous,0.108439999999999,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion3,5.55111512312578E-17,0.0106222958974551,-1.83741910575463E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-4.05849110163768E-23,-1.0233527172237E-23,2.09083285069227E-07,-3.28893902643641E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion3.STL,,Pion-3,pion3_coor,Axis_p_3,p_3,continuous,0.0652399999999993,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion4,5.20417042793042E-17,0.0106222958974552,-1.90125692967058E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.32092358924137E-23,-1.21541520975641E-23,2.09083285069227E-07,-1.0825089483752E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion4.STL,,Pion-4,pion4_coor,Axis_p_4,p_4,continuous,0.0220399999999993,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion5,5.20417042793042E-17,0.0106222958974552,-1.96787031114809E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.22564059495016E-23,-1.21541520975641E-23,2.09083285069225E-07,-9.83816675147344E-24,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion5.STL,,Pion-5,pion5_coor,Axis_p_5,p_5,continuous,-0.0211600000000007,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion6,5.55111512312578E-17,0.0106222958974552,-2.03309591384482E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-4.56944440328927E-23,-1.29460299681839E-23,2.09083285069227E-07,-3.76888328806191E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion6.STL,,Pion-6,pion6_coor,Axis_p_6,p_6,continuous,-0.0643600000000007,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion7,2.77555756156289E-17,0.0106222958974552,-2.09832151654155E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.61603114763974E-23,-1.36349163220758E-23,2.09083285069227E-07,-6.7032927568502E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion7.STL,,Pion-7,pion7_coor,Axis_p_7,p_7,continuous,-0.107560000000001,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion8,5.55111512312578E-17,0.0106222958974552,-2.16354711923827E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-3.26879966837887E-23,-2.71858754420665E-23,2.09083285069225E-07,2.66692949158579E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion8.STL,,Pion-8,pion8_coor,Axis_p_8,p_8,continuous,-0.150760000000001,0.00200000000000001,0.107060000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion9,5.55111512312578E-17,0.0106222958974552,-1.25038868148408E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,4.64679841727202E-23,9.45488365844947E-24,2.09083285069225E-07,-3.89829630753822E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion9.STL,,Pion-10,pion9_coor,Axis_p_9,p_9,continuous,-0.150760000000001,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion10,5.55111512312578E-17,0.0106222958974552,-1.31422650540003E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,3.80897632295363E-24,-1.64352731389091E-25,2.09083285069227E-07,-1.97692226174703E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion10.STL,,Pion-14,pion10_coor,Axis_p_10,p_10,continuous,-0.107560000000001,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion11,5.55111512312578E-17,0.0106222958974552,-1.38083988687754E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,3.81524818338502E-23,2.87367322544659E-23,2.09083285069227E-07,2.10092874245822E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion11.STL,,Pion-13,pion11_coor,Axis_p_11,p_11,continuous,-0.0643600000000007,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion12,5.20417042793042E-17,0.0106222958974552,-1.44606548957427E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.28873928351933E-24,1.2347236223156E-23,2.09083285069227E-07,-2.4990973322584E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion12.STL,,Pion-9,pion12_coor,Axis_p_12,p_12,continuous,-0.0211600000000007,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion13,5.20417042793042E-17,0.0106222958974552,-1.51267887105178E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,-1.28873928351936E-24,4.29260174997181E-23,2.09083285069225E-07,-7.83485004068994E-24,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion13.STL,,Pion-11,pion13_coor,Axis_p_13,p_13,continuous,0.0220399999999993,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion14,5.55111512312578E-17,0.0106222958974551,-1.57512891618694E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,3.35938143553673E-23,-4.64628953838639E-24,2.09083285069227E-07,3.78844729355158E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion14.STL,,Pion-15,pion14_coor,Axis_p_14,p_14,continuous,0.0652399999999993,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion15,5.55111512312578E-17,0.0106222958974551,-1.64035451888367E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,3.80897632295362E-24,2.88432127258723E-23,2.09083285069227E-07,-3.36847737927125E-24,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion15.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion15.STL,,Pion-12,pion15_coor,Axis_p_15,p_15,continuous,0.108439999999999,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
pion16,5.55111512312578E-17,0.0106222958974551,-1.70696790036118E-14,0,0,0,0.00514941010722538,5.74831681295525E-07,4.64679841727202E-23,1.23593813464983E-23,2.09083285069225E-07,-2.57285408302781E-23,5.74831681295525E-07,0,0,0,0,0,0,package://board_new/meshes/pion16.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/pion16.STL,,Pion-16,pion16_coor,Axis_p_16,p_16,continuous,0.151639999999999,0.00200000000000001,-0.107059999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
benteng1,0,0.0139442329834186,-1.70696790036118E-14,0,0,0,0.00689524826732993,1.04076437670444E-06,1.37528750650064E-22,-9.38591097409481E-24,3.15865825931253E-07,1.97940591704879E-23,1.04076437670444E-06,0,0,0,0,0,0,package://board_new/meshes/benteng1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/benteng1.STL,,Benteng-1,benteng1_coor,Axis_ben_1,ben_1,continuous,0.151639999999999,0.002,0.151500000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
benteng2,-2.77555756156289E-17,0.0139442329834186,-1.70696790036118E-14,0,0,0,0.00689524826732993,1.04076437670444E-06,-1.38542779878044E-22,-9.37166755402563E-24,3.15865825931253E-07,-1.64119530605539E-23,1.04076437670444E-06,0,0,0,0,0,0,package://board_new/meshes/benteng2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/benteng2.STL,,Benteng-2,benteng2_coor,Axis_ben_2,ben_2,continuous,-0.152390000000001,0.002,0.151500000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
benteng3,-2.77555756156289E-17,0.0139442329834186,-1.70696790036118E-14,0,0,0,0.00689524826732993,1.04076437670444E-06,-1.37211213055297E-22,-9.72507723956464E-24,3.15865825931253E-07,-2.00484126878895E-23,1.04076437670444E-06,0,0,0,0,0,0,package://board_new/meshes/benteng3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://board_new/meshes/benteng3.STL,,Benteng-3,beenteng3_coor,Axis_ben_3,ben_3,continuous,-0.152390000000001,0.002,-0.151499999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
